Loss Reason,Days Offer Close,Discount code,Price,Use Case_offer,Price Category,Days Lead Offer,Pain,Source,Status_offer
no product fit,1,No Discount,0.0,Sports Events,low,-1.0,quality of delivery,Unknown,Closed Lost
No Loss,6,ANNUAL30BONUS,1344.0,Educational Seminars,mid,0.0,quality of delivery,Inbound,Closed Won
No Loss,0,MONTHSAVE25DEAL,200.0,Corporate Events,low,0.0,operations,Outbound,Closed Won
No Loss,0,HALFSEASON20G,576.0,Sports Events,mid,-1.0,operations,Unknown,Closed Won
no budget,-1,No Discount,360.0,Wedding Planning,low,-1.0,Unknown,Unknown,Closed Lost
No Loss,30,YEARLY30PROMO,1344.0,Corporate Events,mid,0.0,quality of delivery,Inbound,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,0.0,operations,Inbound,Closed Won
lost to competitor,0,No Discount,200.0,Corporate Events,low,308.0,financial control,Inbound,Closed Lost
not target,109,No Discount,0.0,Corporate Events,low,122.0,operations,Outbound,Closed Lost
No Loss,0,MONTH50CUTBACK,300.0,Corporate Events,low,-1.0,financial control,Unknown,Closed Won
No Loss,0,DISCOUNT75SPECIAL,45744.0,Corporate Events,high,-1.0,operations,Unknown,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,9.0,financial control,Outbound,Closed Won
No Loss,0,HALFYEAR20G,768.0,Educational Seminars,mid,0.0,operations,Outbound,Negotiation
No Loss,264,No Discount,360.0,Corporate Events,low,89.0,operations,Outbound,Demo 1
No Loss,0,SAVEMONTH50SPECIAL,300.0,Corporate Events,low,91.0,Unknown,Inbound,Closed Won
No Loss,63,No Discount,360.0,Corporate Events,low,1.0,operations,Inbound,Demo 1
lost to competitor,1,ANNUAL30BONUS,1344.0,Educational Seminars,mid,1.0,financial control,Outbound,Closed Lost
No Loss,1,SAVE25LESS,360.0,Corporate Events,low,62.0,operations,Outbound,Closed Won
no response,14,PROMOCODE,600.0,Educational Seminars,mid,-1.0,quality of delivery,Unknown,Closed Lost
No Loss,31,ECONOMY75DISCOUNT,150.0,Corporate Events,low,0.0,Unknown,Inbound,Closed Won
No Loss,353,2SEMESTERS20OFF,768.0,Corporate Events,mid,31.0,quality of delivery,Inbound,Demo 1
No Loss,171,MONTH75SPECIAL,150.0,Sports Events,low,153.0,operations,Outbound,Closed Won
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,Unknown,Unknown,Closed Won
No Loss,0,No Discount,0.0,Educational Seminars,low,31.0,financial control,Outbound,Negotiation
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,1.0,Unknown,Inbound,Closed Won
not target,22,YEARLY30PROMO,1344.0,Corporate Events,mid,11.0,quality of delivery,Inbound,Closed Lost
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,26.0,financial control,Outbound,Closed Won
No Loss,5,No Discount,360.0,Wedding Planning,low,-1.0,Unknown,Unknown,Closed Won
No Loss,31,YEARLY60,960.0,Sports Events,mid,-1.0,operations,Unknown,Closed Won
no response,0,No Discount,360.0,Wedding Planning,low,-1.0,Unknown,Unknown,Closed Lost
No Loss,0,ECONOMY75DISCOUNT,200.0,Corporate Events,low,0.0,Unknown,Inbound,Closed Won
No Loss,0,ANNUAL60DEAL,960.0,Corporate Events,mid,30.0,financial control,Inbound,Closed Won
no product fit,30,25GIFT,360.0,Sports Events,low,31.0,operations,Outbound,Closed Lost
No Loss,0,HALFYEAR20G,768.0,Educational Seminars,mid,0.0,Unknown,Outbound,Closed Won
No Loss,1,2SEMESTERS20SALE,576.0,Corporate Events,mid,3.0,operations,Outbound,Closed Won
No Loss,0,PROMOTIONCODE,600.0,Corporate Events,mid,30.0,quality of delivery,Outbound,Negotiation
No Loss,0,ANNUAL30BONUS,1344.0,Educational Seminars,mid,-1.0,operations,Unknown,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,0.0,operations,Inbound,Closed Won
No Loss,0,No Discount,0.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Negotiation
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,0.0,operations,Outbound,Closed Won
No Loss,42,10OFFREDUCED,324.0,Corporate Events,low,7.0,operations,Inbound,Demo 1
No Loss,0,MONTH50CUTBACK,300.0,Corporate Events,low,-1.0,quality of delivery,Unknown,Closed Won
